alpha=0.005  avg_queue=0.0001
alpha=0.010  avg_queue=0.0008
alpha=0.015  avg_queue=0.0017
alpha=0.020  avg_queue=0.0039
alpha=0.025  avg_queue=0.0053
alpha=0.030  avg_queue=0.0090
alpha=0.035  avg_queue=0.0108
alpha=0.040  avg_queue=0.0151
alpha=0.045  avg_queue=0.0197
alpha=0.050  avg_queue=0.0241
alpha=0.055  avg_queue=0.0309
alpha=0.060  avg_queue=0.0381
alpha=0.065  avg_queue=0.0459
alpha=0.070  avg_queue=0.0560
alpha=0.075  avg_queue=0.0619
alpha=0.080  avg_queue=0.0764
alpha=0.085  avg_queue=0.0883
alpha=0.090  avg_queue=0.0986
alpha=0.095  avg_queue=0.1135
alpha=0.100  avg_queue=0.1368
alpha=0.105  avg_queue=0.1514
alpha=0.110  avg_queue=0.1814
alpha=0.115  avg_queue=0.1926
alpha=0.120  avg_queue=0.2231
alpha=0.125  avg_queue=0.2530
alpha=0.130  avg_queue=0.2953
alpha=0.135  avg_queue=0.3257
alpha=0.140  avg_queue=0.3495
alpha=0.145  avg_queue=0.4044
alpha=0.150  avg_queue=0.4463
alpha=0.155  avg_queue=0.5025
alpha=0.160  avg_queue=0.5458
alpha=0.165  avg_queue=0.6331
alpha=0.170  avg_queue=0.7124
alpha=0.175  avg_queue=0.8191
alpha=0.180  avg_queue=0.9289
alpha=0.185  avg_queue=1.0279
alpha=0.190  avg_queue=1.1858
alpha=0.195  avg_queue=1.3412
alpha=0.200  avg_queue=1.5236
alpha=0.205  avg_queue=1.7112
alpha=0.210  avg_queue=2.0779
alpha=0.215  avg_queue=2.5161
alpha=0.220  avg_queue=3.1586
alpha=0.225  avg_queue=3.6002
alpha=0.230  avg_queue=4.2733
alpha=0.235  avg_queue=5.7445
alpha=0.240  avg_queue=6.8445
alpha=0.245  avg_queue=9.2481
alpha=0.250  avg_queue=11.0668
Saved task1d_avg_queue_4steps.png
