anti_pct,rep,n_normal,n_anti,role,robot_id,tick,x,y,metric_c,metric_f
0,0,30,0,N,nb0,5,-1.793,-1.018,0,0
0,0,30,0,N,nb1,5,-0.958,0.864,1,1
0,0,30,0,N,nb2,5,-0.785,1.064,0,0
0,0,30,0,N,nb3,5,0.07,-1.212,0,0
0,0,30,0,N,nb4,5,-1.608,1.687,0,0
0,0,30,0,N,nb5,5,-1.467,-0.683,1,1
0,0,30,0,N,nb6,5,0.638,-0.243,1,1
0,0,30,0,N,nb7,5,0.773,0.819,0,0
0,0,30,0,N,nb8,5,1.519,1.661,0,0
0,0,30,0,N,nb9,5,-1.057,-0.524,0,0
0,0,30,0,N,nb10,5,-1.305,-1.129,1,1
0,0,30,0,N,nb11,5,-0.55,1.637,0,0
0,0,30,0,N,nb12,5,0.802,-0.713,0,0
0,0,30,0,N,nb13,5,-0.678,0.413,1,1
0,0,30,0,N,nb14,5,0.747,-0.074,1,1
0,0,30,0,N,nb15,5,-0.288,-1.541,0,0
0,0,30,0,N,nb16,5,-1.065,0.36,0,0
0,0,30,0,N,nb17,5,-1.121,-0.217,0,0
0,0,30,0,N,nb18,5,-0.708,0.178,1,1
0,0,30,0,N,nb19,5,-1.283,-0.793,2,1
0,0,30,0,N,nb20,5,0.13,-0.006,0,0
0,0,30,0,N,nb21,5,0.025,-0.337,0,0
0,0,30,0,N,nb22,5,-0.199,0.273,0,0
0,0,30,0,N,nb23,5,-0.969,-1.554,0,0
0,0,30,0,N,nb24,5,-0.744,-1.122,0,0
0,0,30,0,N,nb25,5,-1.692,0.701,0,0
0,0,30,0,N,nb26,5,1.233,0.891,0,0
0,0,30,0,N,nb27,5,-1.189,0.843,1,1
0,0,30,0,N,nb28,5,-0.043,1.367,0,0
0,0,30,0,N,nb29,5,-1.425,-0.935,2,1
0,0,30,0,N,nb0,10,-1.828,-0.935,0,0
0,0,30,0,N,nb1,10,-0.958,0.864,2,1
0,0,30,0,N,nb2,10,-0.774,1.027,1,1
0,0,30,0,N,nb3,10,0.052,-1.31,0,0
0,0,30,0,N,nb4,10,-1.522,1.738,0,0
0,0,30,0,N,nb5,10,-1.467,-0.683,1,1
0,0,30,0,N,nb6,10,0.638,-0.243,1,1
0,0,30,0,N,nb7,10,0.757,0.72,0,0
0,0,30,0,N,nb8,10,1.421,1.681,0,0
0,0,30,0,N,nb9,10,-1.038,-0.623,0,0
0,0,30,0,N,nb10,10,-1.305,-1.129,1,1
0,0,30,0,N,nb11,10,-0.476,1.569,0,0
0,0,30,0,N,nb12,10,0.704,-0.693,0,0
0,0,30,0,N,nb13,10,-0.678,0.413,1,1
0,0,30,0,N,nb14,10,0.747,-0.074,1,1
0,0,30,0,N,nb15,10,-0.361,-1.609,0,0
0,0,30,0,N,nb16,10,-0.965,0.361,0,0
0,0,30,0,N,nb17,10,-1.179,-0.298,0,0
0,0,30,0,N,nb18,10,-0.708,0.178,1,1
0,0,30,0,N,nb19,10,-1.283,-0.793,2,1
0,0,30,0,N,nb20,10,0.126,-0.069,1,1
0,0,30,0,N,nb21,10,0.08,-0.307,1,1
0,0,30,0,N,nb22,10,-0.13,0.345,0,0
0,0,30,0,N,nb23,10,-1.02,-1.639,0,0
0,0,30,0,N,nb24,10,-0.774,-1.217,0,0
0,0,30,0,N,nb25,10,-1.777,0.647,0,0
0,0,30,0,N,nb26,10,1.275,0.8,0,0
0,0,30,0,N,nb27,10,-1.189,0.843,1,1
0,0,30,0,N,nb28,10,-0.11,1.292,0,0
0,0,30,0,N,nb29,10,-1.425,-0.935,2,1
0,0,30,0,N,nb0,15,-1.853,-0.847,0,0
0,0,30,0,N,nb1,15,-0.958,0.864,2,1
0,0,30,0,N,nb2,15,-0.774,1.027,1,1
0,0,30,0,N,nb3,15,0.034,-1.408,0,0
0,0,30,0,N,nb4,15,-1.439,1.787,0,0
0,0,30,0,N,nb5,15,-1.467,-0.683,1,1
0,0,30,0,N,nb6,15,0.638,-0.243,1,1
0,0,30,0,N,nb7,15,0.74,0.622,0,0
0,0,30,0,N,nb8,15,1.323,1.701,0,0
0,0,30,0,N,nb9,15,-1.018,-0.721,0,0
0,0,30,0,N,nb10,15,-1.305,-1.129,1,1
0,0,30,0,N,nb11,15,-0.401,1.502,0,0
0,0,30,0,N,nb12,15,0.606,-0.674,0,0
0,0,30,0,N,nb13,15,-0.678,0.413,2,1
0,0,30,0,N,nb14,15,0.747,-0.074,1,1
