n_robots,rep,robot_id,tick,vl,vr,error,collision,boundary,transporting,home,force,delivered,state,x,y
1,0,fb0,10,15.0,15.0,-1,0,0,0,0,0,0,SEARCH,-1.22,0.44
1,0,fb0,20,15.0,-2.15,-1,0,0,0,0,0,0,APPROACH,-1.18,0.58
1,0,fb0,30,13.26,10.74,-1,0,0,0,0,0,0,APPROACH,-1.11,0.62
1,0,fb0,40,12.45,11.55,0,0,0,0,0,0,0,APPROACH,-0.99,0.65
1,0,fb0,50,12.16,11.84,0,0,0,0,0,0,0,APPROACH,-0.88,0.68
1,0,fb0,60,15.0,15.0,0,0,0,0,0,0,0,SEARCH,-0.76,0.69
1,0,fb0,70,12.03,11.97,0,0,0,0,0,0,0,APPROACH,-0.64,0.71
1,0,fb0,80,15.0,15.0,0,0,0,0,0,1,0,TRANSPORT,-0.52,0.73
1,0,fb0,90,15.0,0.44,0,0,0,1,0,0,0,TRANSPORT,-0.46,0.71
1,0,fb0,100,15.0,8.46,0,0,0,1,0,0,0,TRANSPORT,-0.44,0.61
1,0,fb0,110,-8.62,15.0,0,0,0,0,0,0,0,APPROACH,-0.48,0.51
1,0,fb0,120,0.85,15.0,0,0,0,0,0,0,0,APPROACH,-0.45,0.47
1,0,fb0,130,5.46,15.0,0,0,0,0,0,0,0,APPROACH,-0.36,0.48
1,0,fb0,140,7.86,15.0,0,0,0,0,0,0,0,APPROACH,-0.28,0.55
1,0,fb0,150,2.99,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.27,0.63
1,0,fb0,160,1.62,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.34,0.68
1,0,fb0,170,11.53,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.44,0.67
1,0,fb0,180,15.0,-6.12,0,0,0,0,0,0,0,APPROACH,-0.55,0.61
1,0,fb0,190,15.0,1.99,0,0,0,0,0,0,0,APPROACH,-0.6,0.64
1,0,fb0,200,15.0,6.01,0,0,0,0,0,0,0,APPROACH,-0.6,0.74
1,0,fb0,210,-4.6,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.54,0.82
1,0,fb0,220,4.81,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.54,0.89
1,0,fb0,230,7.95,10.05,0,0,0,0,0,0,0,SEARCH,-0.61,0.97
1,0,fb0,240,15.0,1.79,0,0,0,0,0,0,0,APPROACH,-0.62,1.01
1,0,fb0,250,15.0,5.75,0,0,0,0,0,0,0,APPROACH,-0.57,1.09
1,0,fb0,260,15.0,-2.24,0,0,0,1,0,1,0,TRANSPORT,-0.49,1.12
1,0,fb0,270,15.0,0.9,0,0,0,1,0,0,0,TRANSPORT,-0.43,1.07
1,0,fb0,280,15.0,4.25,0,0,0,1,0,0,0,TRANSPORT,-0.44,0.98
1,0,fb0,290,15.0,12.3,0,0,0,1,0,0,0,TRANSPORT,-0.53,0.91
1,0,fb0,300,-6.3,15.0,0,0,0,0,0,0,0,APPROACH,-0.64,0.87
1,0,fb0,310,1.87,15.0,0,0,0,0,0,0,0,APPROACH,-0.66,0.81
1,0,fb0,320,5.9,15.0,0,0,0,0,0,0,0,APPROACH,-0.59,0.74
1,0,fb0,330,15.0,-3.64,0,0,0,1,0,0,0,TRANSPORT,-0.49,0.73
1,0,fb0,340,15.0,5.59,0,0,0,1,0,0,0,TRANSPORT,-0.43,0.68
1,0,fb0,350,10.05,7.95,0,0,0,0,0,0,0,SEARCH,-0.41,0.58
1,0,fb0,360,-1.71,15.0,0,0,0,0,0,0,0,APPROACH,-0.39,0.54
1,0,fb0,370,4.07,15.0,0,0,0,0,0,0,0,APPROACH,-0.31,0.56
1,0,fb0,380,7.03,15.0,0,0,0,0,0,0,0,APPROACH,-0.26,0.64
1,0,fb0,390,3.61,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.26,0.73
1,0,fb0,400,7.05,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.34,0.78
1,0,fb0,410,2.35,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.44,0.78
1,0,fb0,420,14.17,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.52,0.7
1,0,fb0,430,15.0,-5.18,0,0,0,0,0,0,0,APPROACH,-0.57,0.61
1,0,fb0,440,15.0,2.34,0,0,0,0,0,0,0,APPROACH,-0.64,0.61
1,0,fb0,450,15.0,6.05,0,0,0,0,0,0,0,APPROACH,-0.69,0.69
1,0,fb0,460,-1.07,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.69,0.79
1,0,fb0,470,7.19,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.75,0.86
1,0,fb0,480,15.0,-10.39,0,0,0,0,0,0,0,APPROACH,-0.85,0.89
1,0,fb0,490,15.0,0.02,0,0,0,0,0,0,0,APPROACH,-0.87,0.93
