n_robots,rep,seed,collected,estimated,per_robot
1,0,2037,1,2,1.0
1,1,2038,1,1,1.0
1,2,2039,2,2,2.0
1,3,2040,0,0,0.0
1,4,2041,1,1,1.0
1,5,2042,1,0,1.0
1,6,2043,2,2,2.0
1,7,2044,2,3,2.0
1,8,2045,2,2,2.0
1,9,2046,2,3,2.0
1,10,2047,1,1,1.0
1,11,2048,1,1,1.0
1,12,2049,2,1,2.0
1,13,2050,0,0,0.0
1,14,2051,1,1,1.0
1,15,2052,1,1,1.0
1,16,2053,1,1,1.0
1,17,2054,1,2,1.0
1,18,2055,2,1,2.0
1,19,2056,2,2,2.0
2,0,2074,2,2,1.0
2,1,2075,3,2,1.5
2,2,2076,3,3,1.5
2,3,2077,1,1,0.5
2,4,2078,6,5,3.0
2,5,2079,4,5,2.0
2,6,2080,3,4,1.5
2,7,2081,3,2,1.5
2,8,2082,4,3,2.0
2,9,2083,3,3,1.5
2,10,2084,4,5,2.0
2,11,2085,4,4,2.0
2,12,2086,3,2,1.5
2,13,2087,6,7,3.0
2,14,2088,2,3,1.0
2,15,2089,3,2,1.5
2,16,2090,3,5,1.5
2,17,2091,3,3,1.5
2,18,2092,3,2,1.5
2,19,2093,3,3,1.5
3,0,2111,7,8,2.3333333333333335
3,1,2112,7,6,2.3333333333333335
3,2,2113,3,2,1.0
3,3,2114,5,7,1.6666666666666667
3,4,2115,2,2,0.6666666666666666
3,5,2116,5,5,1.6666666666666667
3,6,2117,3,4,1.0
3,7,2118,3,5,1.0
3,8,2119,4,4,1.3333333333333333
3,9,2120,3,1,1.0
3,10,2121,7,6,2.3333333333333335
3,11,2122,3,5,1.0
3,12,2123,6,8,2.0
3,13,2124,6,4,2.0
3,14,2125,3,3,1.0
3,15,2126,3,3,1.0
3,16,2127,2,4,0.6666666666666666
3,17,2128,6,7,2.0
3,18,2129,8,6,2.6666666666666665
3,19,2130,7,7,2.3333333333333335
4,0,2148,1,1,0.25
4,1,2149,8,7,2.0
4,2,2150,6,6,1.5
4,3,2151,5,6,1.25
4,4,2152,7,4,1.75
4,5,2153,4,5,1.0
4,6,2154,4,5,1.0
4,7,2155,5,5,1.25
4,8,2156,8,9,2.0
4,9,2157,4,5,1.0
4,10,2158,4,5,1.0
4,11,2159,6,5,1.5
4,12,2160,7,5,1.75
4,13,2161,5,4,1.25
4,14,2162,3,3,0.75
4,15,2163,7,7,1.75
4,16,2164,6,6,1.5
4,17,2165,9,10,2.25
4,18,2166,7,5,1.75
4,19,2167,5,4,1.25
5,0,2185,7,5,1.4
5,1,2186,7,7,1.4
5,2,2187,9,9,1.8
5,3,2188,7,8,1.4
5,4,2189,8,7,1.6
5,5,2190,8,9,1.6
5,6,2191,11,11,2.2
5,7,2192,5,4,1.0
5,8,2193,7,6,1.4
5,9,2194,5,4,1.0
5,10,2195,6,8,1.2
5,11,2196,8,8,1.6
5,12,2197,5,4,1.0
5,13,2198,7,8,1.4
5,14,2199,7,6,1.4
5,15,2200,7,8,1.4
5,16,2201,7,7,1.4
5,17,2202,8,9,1.6
5,18,2203,3,3,0.6
5,19,2204,6,8,1.2
6,0,2222,9,7,1.5
6,1,2223,8,10,1.3333333333333333
6,2,2224,6,7,1.0
6,3,2225,8,7,1.3333333333333333
6,4,2226,4,4,0.6666666666666666
6,5,2227,11,13,1.8333333333333333
6,6,2228,10,11,1.6666666666666667
6,7,2229,10,9,1.6666666666666667
6,8,2230,9,9,1.5
6,9,2231,6,6,1.0
6,10,2232,10,8,1.6666666666666667
6,11,2233,9,7,1.5
6,12,2234,7,6,1.1666666666666667
6,13,2235,7,8,1.1666666666666667
6,14,2236,10,11,1.6666666666666667
6,15,2237,8,8,1.3333333333333333
6,16,2238,7,5,1.1666666666666667
6,17,2239,9,10,1.5
6,18,2240,5,4,0.8333333333333334
6,19,2241,10,11,1.6666666666666667
7,0,2259,9,8,1.2857142857142858
7,1,2260,8,9,1.1428571428571428
7,2,2261,9,7,1.2857142857142858
7,3,2262,7,7,1.0
7,4,2263,11,8,1.5714285714285714
7,5,2264,8,10,1.1428571428571428
7,6,2265,7,7,1.0
7,7,2266,11,12,1.5714285714285714
7,8,2267,9,9,1.2857142857142858
7,9,2268,11,12,1.5714285714285714
7,10,2269,10,10,1.4285714285714286
7,11,2270,13,12,1.8571428571428572
7,12,2271,11,12,1.5714285714285714
7,13,2272,12,15,1.7142857142857142
7,14,2273,8,9,1.1428571428571428
7,15,2274,12,9,1.7142857142857142
7,16,2275,7,5,1.0
7,17,2276,11,10,1.5714285714285714
7,18,2277,9,11,1.2857142857142858
7,19,2278,12,12,1.7142857142857142
8,0,2296,9,9,1.125
8,1,2297,11,10,1.375
8,2,2298,11,10,1.375
8,3,2299,10,12,1.25
8,4,2300,5,6,0.625
8,5,2301,11,12,1.375
8,6,2302,7,8,0.875
8,7,2303,11,12,1.375
8,8,2304,5,7,0.625
8,9,2305,11,14,1.375
8,10,2306,8,7,1.0
8,11,2307,9,7,1.125
8,12,2308,12,11,1.5
8,13,2309,7,9,0.875
8,14,2310,10,9,1.25
8,15,2311,10,9,1.25
8,16,2312,10,9,1.25
8,17,2313,12,16,1.5
8,18,2314,9,8,1.125
8,19,2315,10,13,1.25
9,0,2333,10,13,1.1111111111111112
9,1,2334,10,10,1.1111111111111112
9,2,2335,12,12,1.3333333333333333
9,3,2336,11,12,1.2222222222222223
9,4,2337,9,10,1.0
9,5,2338,15,13,1.6666666666666667
9,6,2339,9,9,1.0
9,7,2340,9,9,1.0
9,8,2341,10,10,1.1111111111111112
9,9,2342,11,11,1.2222222222222223
9,10,2343,10,8,1.1111111111111112
9,11,2344,12,13,1.3333333333333333
9,12,2345,13,13,1.4444444444444444
9,13,2346,13,19,1.4444444444444444
9,14,2347,14,13,1.5555555555555556
9,15,2348,11,11,1.2222222222222223
9,16,2349,12,10,1.3333333333333333
